ID,Description,Active
1,revival request,1
2,contract notice,1
3,accommodation reconstruction,1
4,disclaimer of a service ,1
5,automatic representative card,0
6,conclusion hellipis service from executive external cooperative,1
7,modification request,1
8,contract maintenance development,1
9,differences in price politics,1
10,poor service,1
11,poor information before or with the sale,1
12,update request,1
13,ignorance of existence,1
14,fraud,1
15,power for presentation or wrong,1
16,research request,1
17,responsibility of answer for the receipt of justice,0
18,determination of answer to blood question solidarity,1
19,determination or loss of absolute registrations,1
20,determination of ophilis certificate,0
21,disclaimer determination of completion of another company content,1
23,terms in product use,1
25,production product,1
27,problems with private collection companies,1
29,performance use of site,1
31,telephone schools,1
32,payment policy,1
33,low discount,1
34,use of other other expenses,1
35,use of personal data,1
36,years of departure in the phones or not an answer of closes understanded lines,1
37,nonmaintenance of a bankrupt,1
38,security contract agency saint,1
40,security building request security return,1
42,independent dismissal,1
44,selfdetermined expression of insurance,1
45,security publishing contract,1
46,management not decision of another company contract,0
47,use of canceled certificate card,0
50,disclaimer of dismissal,1
52,application request,1
53,no contract notice on,0
54,do not use a request,0
55,insurance use in organization of competitive loan,1
56,contract authority cause,1
57,certificate of contents,1
58,registration form of registration,1
59,you have always been requested,1
60,emak transport,1
61,beneficiary management request,1
62,some decision,1
63,discussion dismissal,1
64,performance resistance to personal data,1
65,security contract management request,1
66,under excellent decision how much the return of securities,1
999,other,1
