ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,ClientSatisfaction,ExpectedReimbursement,RegionID
10999,02/26/19,02/27/19,211339,2309,66,2,5,5,59,9,SAT,0,329
10894,02/14/19,02/15/19,146389,8985,1,2,5,5,59,9,SAT,0,948
11973,04/15/19,04/16/19,5465,11638,14,2,5,5,59,9,SAT,0,375
9822,06/25/18,06/29/18,1753652,1115,56,2,5,5,59,9,SAT,0,892
9499,05-09-18,05-10-18,7311,12605,50,2,5,5,59,9,SAT,0,165
10951,02/21/19,02/22/19,8282,12034,73,2,5,5,59,9,SAT,0,645
9207,03-08-18,04-05-18,8405,9559,49,2,5,5,59,9,SAT,0,492
9080,02-12-18,02/15/18,1749781,2500,9,2,5,5,59,9,SAT,0,415
11464,03/20/19,03/28/19,11817,1896,60,2,5,5,59,9,SAT,0,488
11079,03-05-19,03-07-19,13825,8053,14,2,5,5,59,9,SAT,0,324
10421,10/30/18,10/31/18,2116035,1516,58,2,5,5,59,9,SAT,0,826
11384,03/19/19,04-01-19,14734,11077,58,2,5,5,59,9,SAT,0,194
11546,03/22/19,04-01-19,15646,11971,25,2,5,5,59,9,SAT,0,325
11612,03/27/19,04-02-19,17480,12127,31,2,5,5,59,9,SAT,0,325
9264,03/22/18,03/23/18,395388,11066,17,2,5,5,59,9,SAT,0,908
11745,04-03-19,04-04-19,18786,879,78,2,5,5,59,9,SAT,0,432
11583,03/26/19,04-01-19,863408,11158,46,2,5,5,59,9,SAT,0,495
11607,03/27/19,04-02-19,19191,11004,51,2,5,5,59,9,SAT,0,613
11995,04/16/19,04/17/19,2184361,1115,76,2,5,5,59,9,SAT,0,821
11497,03/21/19,03/22/19,58265,11078,50,2,5,5,59,9,SAT,0,686
12294,05-02-19,05-02-19,19691,2468,47,2,5,5,59,9,SAT,0,738
11879,04-10-19,04-11-19,104661,10360,65,2,5,5,59,9,SAT,0,110
12123,04/18/19,04/23/19,2217262,1526,23,2,5,5,59,9,SAT,0,745
